Time, Velocity, Acceleration, Distance
5.0000000000e-06, 0.586, 9.794, 0.000
5.0000000000e-06, 0.703, 9.793, 0.000
4.0000000000e-06, 0.866, 9.791, 0.000
5.0000000000e-06, 0.948, 9.790, 0.000
4.0000000000e-06, 1.051, 9.790, 0.000
4.0000000000e-06, 1.133, 9.789, 0.000
4.0000000000e-06, 1.214, 9.788, 0.000
5.0000000000e-06, 1.296, 9.787, 0.000
4.0000000000e-06, 1.391, 9.786, 0.000
4.0000000000e-06, 1.554, 9.784, 0.000
5.0000000000e-06, 1.635, 9.784, 0.000
5.0000000000e-06, 1.717, 9.783, 0.000
4.0000000000e-06, 1.798, 9.782, 0.000
4.0000000000e-06, 1.880, 9.781, 0.000
6.0000000000e-06, 2.043, 9.779, 0.000
3.0000000000e-06, 2.125, 9.779, 0.000
4.0000000000e-06, 2.206, 9.778, 0.000
5.0000000000e-06, 2.287, 9.777, 0.000
5.0000000000e-06, 2.369, 9.776, 0.000
5.0000000000e-06, 2.532, 9.775, 0.000
5.0000000000e-06, 2.613, 9.774, 0.000
4.0000000000e-06, 2.695, 9.773, 0.000
3.0000000000e-06, 2.776, 9.772, 0.000
3.0000000000e-06, 2.858, 9.771, 0.000
4.0000000000e-06, 3.020, 9.770, 0.000
5.0000000000e-06, 3.102, 9.769, 0.000
3.0000000000e-06, 3.183, 9.768, 0.000
5.0000000000e-06, 3.265, 9.767, 0.000
3.0000000000e-06, 3.346, 9.766, 0.000
5.0000000000e-06, 3.509, 9.765, 0.000
5.0000000000e-06, 3.590, 9.764, 0.000
3.0000000000e-06, 3.672, 9.763, 0.000
3.0000000000e-06, 3.753, 9.762, 0.000
3.0000000000e-06, 3.834, 9.762, 0.000
5.0000000000e-06, 3.997, 9.760, 0.000
3.0000000000e-06, 4.078, 9.759, 0.000
3.0000000000e-06, 4.160, 9.758, 0.000
4.0000000000e-06, 4.241, 9.758, 0.000
4.0000000000e-06, 4.322, 9.757, 0.000
4.0000000000e-06, 4.485, 9.755, 0.000
5.0000000000e-06, 4.566, 9.754, 0.000
5.0000000000e-06, 4.647, 9.753, 0.000
3.0000000000e-06, 4.729, 9.753, 0.000
5.0000000000e-06, 4.810, 9.752, 0.000
4.0000000000e-06, 4.972, 9.750, 0.000
5.0000000000e-06, 5.054, 9.749, 0.000
5.0000000000e-06, 5.135, 9.749, 0.000
5.0000000000e-06, 5.216, 9.748, 0.000
5.0000000000e-06, 5.297, 9.747, 0.000
4.0000000000e-06, 5.460, 9.745, 0.000
5.0000000000e-06, 5.541, 9.744, 0.000
5.0000000000e-06, 5.622, 9.744, 0.000
3.0000000000e-06, 5.703, 9.743, 0.000
5.0000000000e-06, 5.785, 9.742, 0.000
4.0000000000e-06, 5.947, 9.740, 0.000
5.0000000000e-06, 6.028, 9.740, 0.000
4.0000000000e-06, 6.109, 9.739, 0.000
4.0000000000e-06, 6.038, 8.569, 0.000
4.0000000000e-06, 5.416, 74.581, 0.000
4.0000000000e-06, 4.310, 63.625, 0.000
6.0000000000e-06, 3.826, 58.167, 0.000
3.0000000000e-06, 3.398, 51.398, 0.000
5.0000000000e-06, 0.287, 373.328, 0.000
5.0000000000e-06, 0.234, 28.472, 0.000
5.0000000000e-06, 0.124, 14.443, 0.000
5.0000000000e-06, 0.123, 5.755, 0.000
4.0000000000e-06, 0.138, 3.272, 0.000
5.0000000000e-06, 0.155, 2.484, 0.000
5.0000000000e-06, 0.168, 1.806, 0.000
4.0000000000e-06, 0.196, 1.671, 0.000
4.0000000000e-06, 0.207, 1.434, 0.000
5.0000000000e-06, 0.216, 1.219, 0.000
3.0000000000e-06, 0.224, 1.025, 0.000
6.0000000000e-06, 0.230, 0.846, 0.000
4.0000000000e-06, 0.239, 0.545, 0.000
3.0000000000e-06, 0.242, 0.421, 0.000
5.0000000000e-06, 0.243, 0.317, 0.000
5.0000000000e-06, 0.244, 0.238, 0.000
4.0000000000e-06, 0.244, 0.195, 0.000
4.0000000000e-06, 0.242, 0.228, 0.000
5.0000000000e-06, 0.240, 0.274, 0.000
5.0000000000e-06, 0.238, 0.322, 0.000
5.0000000000e-06, 0.235, 0.368, 0.000
4.0000000000e-06, 0.232, 0.411, 0.000
4.0000000000e-06, 0.224, 0.482, 0.000
4.0000000000e-06, 0.220, 0.512, 0.000
3.0000000000e-06, 0.216, 0.536, 0.000
3.0000000000e-06, 0.211, 0.557, 0.000
4.0000000000e-06, 0.206, 0.574, 0.000
4.0000000000e-06, 0.197, 0.598, 0.000
4.0000000000e-06, 0.192, 0.608, 0.000
4.0000000000e-06, 0.186, 0.675, 0.000
4.0000000000e-06, 0.181, 0.695, 0.000
5.0000000000e-06, 0.176, 0.740, 0.000
5.0000000000e-06, 0.165, 0.627, 0.000
3.0000000000e-06, 0.160, 0.608, 0.000
5.0000000000e-06, 0.155, 0.603, 0.000
4.0000000000e-06, 0.150, 0.597, 0.000
4.0000000000e-06, 0.145, 0.588, 0.000
3.0000000000e-06, 0.136, 0.569, 0.000
3.0000000000e-06, 0.131, 0.557, 0.000
5.0000000000e-06, 0.127, 0.546, 0.000
3.0000000000e-06, 0.122, 0.535, 0.000
5.0000000000e-06, 0.118, 0.523, 0.000
6.0000000000e-06, 0.110, 0.498, 0.000
5.0000000000e-06, 0.106, 0.485, 0.000
3.0000000000e-06, 0.102, 0.472, 0.000
4.0000000000e-06, 0.098, 0.459, 0.000
3.0000000000e-06, 0.094, 0.446, 0.000
4.0000000000e-06, 0.087, 0.420, 0.000
5.0000000000e-06, 0.084, 0.408, 0.000
4.0000000000e-06, 0.080, 0.395, 0.000
3.0000000000e-06, 0.077, 0.383, 0.000
5.0000000000e-06, 0.074, 0.370, 0.000
5.0000000000e-06, 0.068, 0.347, 0.000
4.0000000000e-06, 0.066, 0.332, 0.000
5.0000000000e-06, 0.063, 0.323, 0.000
4.0000000000e-06, 0.060, 0.309, 0.000
4.0000000000e-06, 0.058, 0.300, 0.000
5.0000000000e-06, 0.053, 0.279, 0.000
5.0000000000e-06, 0.051, 0.267, 0.000
5.0000000000e-06, 0.049, 0.259, 0.000
5.0000000000e-06, 0.047, 0.248, 0.000
3.0000000000e-06, 0.045, 0.239, 0.000
5.0000000000e-06, 0.041, 0.220, 0.000
4.0000000000e-06, 0.039, 0.212, 0.000
4.0000000000e-06, 0.038, 0.205, 0.000
5.0000000000e-06, 0.036, 0.196, 0.000
5.0000000000e-06, 0.034, 0.188, 0.000
4.0000000000e-06, 0.031, 0.173, 0.000
6.0000000000e-06, 0.030, 0.166, 0.000
4.0000000000e-06, 0.029, 0.159, 0.000
5.0000000000e-06, 0.028, 0.153, 0.000
4.0000000000e-06, 0.026, 0.146, 0.000
5.0000000000e-06, 0.024, 0.134, 0.000
5.0000000000e-06, 0.023, 0.129, 0.000
5.0000000000e-06, 0.022, 0.123, 0.000
4.0000000000e-06, 0.021, 0.118, 0.000
5.0000000000e-06, 0.020, 0.114, 0.000
5.0000000000e-06, 0.018, 0.104, 0.000
4.0000000000e-06, 0.018, 0.099, 0.000
4.0000000000e-06, 0.017, 0.095, 0.000
4.0000000000e-06, 0.016, 0.091, 0.000
4.0000000000e-06, 0.015, 0.087, 0.000
4.0000000000e-06, 0.014, 0.080, 0.000
4.0000000000e-06, 0.013, 0.076, 0.000
5.0000000000e-06, 0.013, 0.073, 0.000
3.0000000000e-06, 0.012, 0.070, 0.000
4.0000000000e-06, 0.012, 0.067, 0.000
5.0000000000e-06, 0.011, 0.060, 0.000
5.0000000000e-06, 0.010, 0.057, 0.000
3.0000000000e-06, 0.010, 0.056, 0.000
5.0000000000e-06, 0.009, 0.055, 0.000
4.0000000000e-06, 0.009, 0.050, 0.000
4.0000000000e-06, 0.008, 0.047, 0.000
4.0000000000e-06, 0.008, 0.045, 0.000
4.0000000000e-06, 0.007, 0.043, 0.000
4.0000000000e-06, 0.007, 0.041, 0.000
3.0000000000e-06, 0.007, 0.039, 0.000
5.0000000000e-06, 0.006, 0.035, 0.000
5.0000000000e-06, 0.006, 0.035, 0.000
4.0000000000e-06, 0.006, 0.033, 0.000
4.0000000000e-06, 0.005, 0.030, 0.000
5.0000000000e-06, 0.005, 0.029, 0.000
3.0000000000e-06, 0.004, 0.049, 0.000
3.0000000000e-06, 0.004, 0.027, 0.000
3.0000000000e-06, 0.004, 0.022, 0.000
4.0000000000e-06, 0.003, 0.022, 0.000
3.0000000000e-06, 0.003, 0.021, 0.000
6.0000000000e-06, 0.003, 0.017, 0.000
5.0000000000e-06, 0.003, 0.019, 0.000
4.0000000000e-06, 0.003, 0.017, 0.000
5.0000000000e-06, 0.002, 0.017, 0.000
4.0000000000e-06, 0.002, 0.015, 0.000
4.0000000000e-06, 0.002, 0.014, 0.000
4.0000000000e-06, 0.002, 0.015, 0.000
4.0000000000e-06, 0.002, 0.011, 0.000
5.0000000000e-06, 0.002, 0.013, 0.000
3.0000000000e-06, 0.001, 0.069, 0.000
3.0000000000e-06, 0.002, 0.013, 0.000
5.0000000000e-06, 0.001, 0.009, 0.000
3.0000000000e-06, 0.001, 0.010, 0.000
3.0000000000e-06, 0.001, 0.009, 0.000
5.0000000000e-06, 0.001, 0.009, 0.000
4.0000000000e-06, 0.001, 0.008, 0.000
4.0000000000e-06, 0.001, 0.008, 0.000
5.0000000000e-06, 0.001, 0.007, 0.000
5.0000000000e-06, 0.001, 0.007, 0.000
4.0000000000e-06, 0.001, 0.007, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
4.0000000000e-06, 0.001, 0.005, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
3.0000000000e-06, 0.001, 0.004, 0.000
4.0000000000e-06, 0.001, 0.005, 0.000
4.0000000000e-06, 0.001, 0.003, 0.000
3.0000000000e-06, 0.000, 0.004, 0.000
5.0000000000e-06, 0.000, 0.004, 0.000
4.0000000000e-06, 0.000, 0.004, 0.000
4.0000000000e-06, 0.000, 0.004, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
3.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.001, 0.078, 0.000
4.0000000000e-06, 0.000, 0.095, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.052, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.001, 0.075, 0.000
5.0000000000e-06, 0.000, 0.145, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
